"rt" "key_press" "correct_response" "correct" "condition" "stim_color" "stim_word" "session" "subj" "stim" "rtoutlier"
607 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
747 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
711 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
532 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
658 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
1030 82 82 "true" "incongruent" "red" "blue" "2" 11 "S" NA
1426 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
1145 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
870 66 66 "true" "incongruent" "blue" "green" "2" 11 "S" NA
1018 71 71 "true" "incongruent" "green" "blue" "2" 11 "S" NA
1097 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
654 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
1171 82 82 "true" "incongruent" "red" "blue" "2" 11 "S" NA
593 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
1033 82 82 "true" "incongruent" "red" "green" "2" 11 "S" NA
1130 71 71 "true" "incongruent" "green" "blue" "2" 11 "S" NA
626 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
1408 82 71 "false" "incongruent" "green" "red" "2" 11 "S" NA
965 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
499 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
799 66 66 "true" "incongruent" "blue" "red" "2" 11 "S" NA
845 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
1075 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
770 82 82 "true" "incongruent" "red" "green" "2" 11 "S" NA
728 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
965 71 71 "true" "incongruent" "green" "red" "2" 11 "S" NA
800 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
542 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
637 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
1051 66 66 "true" "incongruent" "blue" "green" "2" 11 "S" NA
647 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
725 82 82 "true" "incongruent" "red" "blue" "2" 11 "S" NA
730 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
1177 71 71 "true" "incongruent" "green" "blue" "2" 11 "S" NA
1031 66 66 "true" "incongruent" "blue" "green" "2" 11 "S" NA
837 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
1051 66 66 "true" "incongruent" "blue" "red" "2" 11 "S" NA
976 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
647 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
